Date,Opponent,Team_Total_UConn_Score,Team_Total_Opponent_Score,Home,Win,Team_Score_On_PP,Team_PP_Faceoffs_won_in_OZ_percent,Team_PP_Faceoffs_won_percent,Team_Shots_OT_Behind_Net,Team_Shots_Behind_Net,Team_Goals_Behind_Net,Team_Shots_OT_at_Net,Team_Shots_at_Net,Team_Goals_at_Net,Team_Shots_OT_Left_Close,Team_Shots_Left_Close,Team_Goals_Left_Close,Team_Shots_OT_Center_Close,Team_Shots_Center_Close,Team_Goals_Center_Close,Team_Shots_OT_Right_Close,Team_Shots_Right_Close,Team_Goals_Right_Close,Team_Shots_OT_Left_Far,Team_Shots_Left_Far,Team_Goals_Left_Far,Team_Shots_OT_Center_Far,Team_Shots_Center_Far,Team_Goals_Center_Far,Team_Shots_OT_Right_Far,Team_Shots_Right_Far,Team_Goals_Right_Far,Team_Shots_OT_Not_in_Offensive_Zone,Team_Shots_Not_in_Offensive_Zone,Team_Goals_Not_in_Offensive_Zone,Team_PP_OZ_possession_percent,Team_PP_NZ_possession_percent,Team_PP_DZ_possession_percent
2021-01-22,Boston College Eagles,4.0,3.0,0,1,0,71.4,81.8,0,0,0,5,6,0,1,2,0,2,2,0,2,3,0,2,2,0,2,5,0,0,2,0,0,0,0,44.33,10.17,27.33
2021-01-16,New Hampshire Wildcats,8.0,3.0,0,1,1,76.9,71.4,0,0,0,4,4,3,1,1,1,5,7,0,2,4,0,0,0,0,1,8,0,0,3,0,0,0,0,71.68,4.24,6.55
2021-01-15,New Hampshire Wildcats,6.0,5.0,1,1,1,40.0,33.3,0,0,0,0,0,0,0,1,0,2,3,2,1,1,0,0,1,0,0,2,0,1,1,0,0,0,0,45.28,9.17,11.11
2021-01-02,New Hampshire Wildcats,1.0,2.0,1,0,1,33.3,25.0,0,0,0,3,3,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,47.8,13.56,13.22
2021-01-01,New Hampshire Wildcats,2.0,1.0,0,1,0,66.7,66.7,0,0,0,2,2,0,1,3,0,2,2,0,1,2,0,0,0,0,3,7,0,0,0,0,0,0,0,62.42,6.21,12.09
2020-12-28,Providence Friars,2.0,0.0,1,1,0,71.4,61.5,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,1,2,0,0,0,0,45.45,11.14,21.7
2020-12-23,Univ. of Massachusetts,2.0,6.0,0,0,0,62.5,66.7,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,0,1,1,0,1,1,0,0,0,0,32.9,15.37,15.58
2020-12-21,UMass-Lowell River Hawks,1.0,2.0,0,0,1,80.0,83.3,0,0,0,3,4,1,1,1,0,0,3,0,0,1,0,0,0,0,2,6,0,1,1,0,0,0,0,67.29,6.43,8.58
2020-12-12,Boston College Eagles,3.0,1.0,1,1,0,22.2,30.8,0,0,0,2,3,0,2,2,0,1,2,0,2,2,0,1,2,0,1,3,0,2,2,0,1,1,0,38.33,7.5,12.92
2020-12-11,Boston College Eagles,3.0,4.0,0,0,1,60.0,62.5,0,0,0,5,6,0,1,2,0,2,2,0,2,3,0,2,2,0,2,5,0,0,2,0,0,0,0,43.37,8.16,18.62
2020-11-21,Univ. of Massachusetts,3.0,2.0,1,1,0,45.5,46.2,0,0,0,0,0,0,3,3,0,0,5,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,56.64,8.9,8.76
2020-11-20,Univ. of Massachusetts,1.0,5.0,0,0,0,37.5,50.0,0,0,0,1,2,0,1,2,0,4,4,0,3,3,0,1,1,0,0,1,0,0,0,0,0,0,0,41.91,9.36,17.23
2020-03-06,UMass-Lowell River Hawks,1.0,3.0,0,0,1,66.7,62.5,0,0,0,2,2,1,3,3,0,1,1,0,1,1,0,0,0,0,1,4,0,0,1,0,0,0,0,37.5,13.33,15.0
2020-02-29,Univ. of Massachusetts,3.0,4.0,0,0,0,62.5,57.1,0,0,0,0,1,0,2,2,0,3,3,0,0,0,0,1,1,0,1,3,0,2,3,0,0,0,0,71.67,16.94,21.39
2020-02-28,Univ. of Massachusetts,3.0,2.0,1,1,0,66.7,50.0,0,0,0,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,60.83,4.17,10.83
2020-02-22,Boston University Terriers,6.0,1.0,0,1,1,100.0,87.5,0,0,0,1,1,0,1,2,0,2,3,1,1,2,0,0,1,0,0,0,0,2,3,0,0,0,0,47.11,7.85,17.78
2020-02-21,Boston University Terriers,4.0,3.0,1,1,1,66.7,66.7,0,0,0,1,1,1,2,2,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,56.85,9.64,15.23
2020-02-15,Maine Black Bears,0.0,1.0,0,0,0,50.0,37.5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,32.78,11.11,15.56
2020-02-14,Maine Black Bears,3.0,2.0,0,1,0,40.0,40.0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,13.75,11.67
2020-02-01,New Hampshire Wildcats,7.0,4.0,1,1,0,33.3,33.3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,67.5,16.67,28.33
2020-01-31,New Hampshire Wildcats,7.0,4.0,0,1,0,33.3,40.0,0,0,0,1,2,0,1,2,0,0,0,0,1,1,0,0,0,0,1,4,0,0,0,0,0,0,0,60.0,4.17,9.58
2020-01-26,Yale Bulldogs,2.0,3.0,1,0,0,25.0,40.0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,82.5,24.17,17.5
2020-01-25,Quinnipiac Bobcats,2.0,3.0,1,0,0,33.3,25.0,0,0,0,2,2,0,1,3,0,2,2,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,59.73,5.95,9.46
2020-01-18,Northeastern Huskies,3.0,2.0,0,1,1,80.0,83.3,0,0,0,2,3,1,2,2,0,5,5,0,1,3,0,1,1,0,0,0,0,2,4,0,0,0,0,66.17,6.23,13.35
2020-01-11,Providence Friars,1.0,2.0,0,0,1,62.5,62.5,0,0,0,0,0,0,0,1,0,0,1,0,4,4,1,0,0,0,2,6,0,0,0,0,0,0,0,54.1,7.49,11.48
2020-01-07,Merrimack Warriors,2.0,6.0,1,0,0,25.0,40.0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,42.5,8.33,17.5
2020-01-03,Northeastern Huskies,2.0,5.0,1,0,0,36.4,46.2,0,0,0,1,1,0,0,1,0,0,1,0,2,2,0,0,1,0,2,5,0,0,0,0,0,0,0,81.25,6.99,10.11
2019-12-29,Dartmouth Big Green,3.0,4.0,0,0,1,50.0,66.7,0,0,0,1,1,0,2,3,0,1,2,0,2,3,0,0,1,0,1,5,0,0,3,0,0,0,0,53.1,21.84,11.26
2019-12-28,St. Lawrence Saints,3.0,2.0,0,1,0,100.0,100.0,0,0,0,0,0,0,2,3,0,1,2,0,0,0,0,2,2,0,2,3,0,0,0,0,0,0,0,70.0,5.42,7.5
2019-12-07,Vermont Catamounts,7.0,4.0,1,1,1,83.3,83.3,0,0,0,0,0,0,2,3,0,1,2,1,1,1,0,0,1,0,3,5,1,0,1,0,0,0,0,63.41,10.78,11.53
2019-12-06,Vermont Catamounts,3.0,2.0,1,1,0,60.0,60.0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,4,0,0,1,0,0,0,0,57.91,11.4,12.33
2019-11-29,Miami RedHawks,6.0,4.0,1,1,1,77.8,75.0,0,0,0,1,2,0,3,3,0,1,2,1,1,1,0,0,2,0,1,5,0,2,2,0,0,0,0,60.21,5.94,10.85
2019-11-23,Providence Friars,2.0,5.0,0,0,1,71.4,77.8,0,0,0,1,1,1,1,2,0,1,3,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,34.81,15.93,18.52
